years_of_experience,skill_match_score,interview_score,assessment_score,decision_confidence,feature_count,risk_label,gender,age,caste_proxy,socioeconomic_bg,location_tier,final_decision
15.5,0.218,77.7,47.8,0.746,2,YELLOW,Female,38,General,Middle,Metro,Hired
8.8,0.663,76.9,28.2,0.986,13,YELLOW,Female,55,OBC,Middle,Tier-3,Hired
17.2,0.767,36.2,44.2,0.089,7,RED,Male,59,General,Middle,Rural,Rejected
13.9,0.167,22.9,84.5,0.28,13,RED,Male,28,General,Middle,Tier-2,Hired
1.9,0.044,44.3,59.5,0.612,6,RED,Female,52,General,Middle,Metro,Rejected
19.5,0.44,32.6,33.7,0.44,11,RED,Female,40,OBC,Middle,Metro,Rejected
15.2,0.774,51.7,45.0,0.649,5,YELLOW,Female,30,OBC,Middle,Tier-2,Rejected
15.7,0.651,98.3,96.3,0.601,6,GREEN,Male,36,General,Low,Metro,Hired
2.6,0.702,34.5,54.6,0.791,5,YELLOW,Non-binary,27,OBC,Middle,Tier-3,Hired
9.0,0.403,45.5,55.3,0.117,8,RED,Male,45,General,Middle,Tier-2,Hired
7.4,0.235,78.0,32.2,0.464,3,YELLOW,Male,43,ST,Middle,Tier-2,Rejected
18.5,0.532,60.7,44.4,0.858,7,YELLOW,Male,27,General,Middle,Tier-2,Hired
12.9,0.204,23.5,85.2,0.391,11,RED,Female,51,SC,Low,Metro,Rejected
16.5,0.726,32.9,82.9,0.524,3,YELLOW,Male,43,ST,Middle,Tier-3,Rejected
8.9,0.197,94.8,54.8,0.07,11,RED,Male,46,OBC,Middle,Tier-3,Rejected
4.5,0.291,28.3,91.5,0.261,12,RED,Female,26,OBC,High,Tier-2,Hired
11.1,0.507,70.8,50.4,0.486,1,YELLOW,Female,52,General,Low,Tier-2,Hired
1.3,0.487,83.4,89.1,0.425,9,YELLOW,Male,35,General,Low,Metro,Rejected
16.6,0.601,41.2,22.5,0.722,7,YELLOW,Female,39,General,Low,Tier-3,Rejected
12.6,0.437,78.0,47.8,0.625,9,RED,Male,27,OBC,Low,Rural,Hired
15.2,0.919,33.6,88.4,0.877,4,GREEN,Male,59,ST,Middle,Tier-3,Rejected
7.1,0.84,42.8,92.1,0.853,3,GREEN,Male,41,General,High,Metro,Hired
19.4,0.879,44.9,80.5,0.277,4,YELLOW,Non-binary,51,OBC,Middle,Metro,Rejected
17.9,0.63,99.7,73.6,0.067,2,YELLOW,Female,44,SC,Middle,Rural,Rejected
15.6,0.635,37.2,85.2,0.853,6,GREEN,Male,22,OBC,High,Tier-3,Rejected
3.9,0.609,30.3,76.6,0.359,12,GREEN,Male,48,OBC,Middle,Metro,Rejected
9.3,0.435,94.1,40.3,0.376,11,RED,Male,35,OBC,Low,Tier-2,Hired
0.9,0.322,33.0,57.3,0.199,3,RED,Female,44,OBC,High,Metro,Rejected
3.1,0.592,90.3,72.9,0.701,8,YELLOW,Female,42,General,Middle,Rural,Rejected
13.7,0.026,72.0,67.0,0.313,1,RED,Male,51,OBC,Middle,Tier-2,Hired
14.9,0.007,66.1,90.8,0.216,1,YELLOW,Female,29,OBC,High,Metro,Rejected
19.4,0.852,80.1,57.9,0.523,9,GREEN,Male,58,General,Low,Metro,Hired
6.5,0.046,78.1,34.2,0.755,4,YELLOW,Male,36,OBC,Middle,Metro,Rejected
7.4,0.525,28.8,37.2,0.303,10,RED,Male,49,OBC,High,Tier-2,Hired
9.4,0.615,100.0,87.7,0.729,3,GREEN,Male,45,OBC,Low,Tier-3,Hired
3.8,0.198,95.4,20.7,0.484,2,YELLOW,Female,43,OBC,Middle,Tier-3,Hired
2.6,0.896,91.7,89.5,0.43,10,YELLOW,Female,42,OBC,Middle,Metro,Hired
9.5,0.19,69.8,24.4,0.388,3,YELLOW,Female,44,SC,Middle,Tier-3,Rejected
4.5,0.885,61.8,51.3,0.187,1,YELLOW,Male,54,General,Low,Tier-3,Rejected
13.4,0.763,62.9,84.0,0.363,11,RED,Male,31,OBC,High,Tier-2,Hired
8.7,0.241,21.2,52.6,0.876,10,GREEN,Male,31,OBC,Middle,Tier-2,Hired
16.7,0.151,60.0,85.8,0.146,13,RED,Male,59,OBC,Middle,Metro,Rejected
14.0,0.316,69.9,28.0,0.951,8,YELLOW,Male,56,SC,Low,Rural,Rejected
6.2,0.398,72.7,60.9,0.151,7,RED,Male,36,SC,Low,Metro,Rejected
16.6,0.246,46.6,66.6,0.39,9,YELLOW,Non-binary,33,General,Low,Tier-3,Rejected
16.1,0.999,57.7,91.3,0.62,11,GREEN,Female,50,OBC,High,Tier-2,Hired
7.7,0.23,70.9,27.5,0.838,9,YELLOW,Male,56,General,Middle,Metro,Hired
5.8,0.831,54.3,47.1,0.185,5,YELLOW,Female,57,SC,Middle,Metro,Hired
13.6,0.159,97.0,72.7,0.183,12,RED,Male,30,ST,Middle,Rural,Rejected
2.8,0.98,76.4,98.4,0.641,10,GREEN,Female,29,OBC,Low,Tier-2,Hired
4.0,0.226,20.1,87.9,0.325,12,RED,Female,40,General,Middle,Tier-2,Hired
0.1,0.422,21.9,87.7,0.656,8,YELLOW,Male,27,General,High,Rural,Rejected
15.7,0.559,75.2,61.4,0.821,6,GREEN,Non-binary,57,General,Middle,Tier-2,Hired
13.3,0.12,53.0,65.1,0.122,11,YELLOW,Male,34,OBC,High,Tier-3,Hired
14.1,0.817,87.2,88.7,0.844,8,GREEN,Male,31,SC,High,Rural,Hired
15.6,0.275,33.8,89.6,0.085,11,RED,Female,58,OBC,Middle,Tier-3,Hired
9.2,0.549,21.1,84.2,0.895,12,YELLOW,Female,54,ST,Low,Metro,Rejected
11.4,0.55,51.0,85.5,0.967,4,RED,Male,57,General,Middle,Rural,Rejected
2.8,0.603,78.9,90.4,0.677,3,GREEN,Male,40,General,Middle,Tier-2,Hired
2.3,0.055,97.7,29.1,0.975,2,YELLOW,Male,51,OBC,Middle,Tier-2,Hired
13.4,0.169,90.7,43.4,0.823,8,YELLOW,Male,37,General,High,Tier-3,Rejected
9.4,0.161,58.7,98.1,0.092,11,RED,Male,23,General,Middle,Metro,Rejected
11.3,0.302,85.0,63.6,0.054,13,RED,Male,46,General,High,Metro,Hired
15.3,0.145,25.6,34.1,0.07,1,RED,Non-binary,24,OBC,Low,Tier-3,Rejected
12.7,0.922,65.8,60.2,0.475,1,GREEN,Female,28,General,Middle,Tier-2,Rejected
11.1,0.513,93.9,71.7,0.636,9,YELLOW,Non-binary,32,ST,Middle,Tier-2,Hired
11.2,0.624,51.7,86.3,0.503,4,GREEN,Male,46,SC,Middle,Tier-3,Rejected
6.1,0.357,96.8,85.0,0.687,7,GREEN,Male,51,SC,High,Rural,Rejected
0.6,0.276,37.7,23.9,0.473,2,YELLOW,Female,27,General,Low,Metro,Hired
8.7,0.503,28.5,56.3,0.09,1,YELLOW,Female,49,General,Low,Metro,Rejected
4.3,0.294,62.0,21.6,0.263,7,RED,Female,48,OBC,Low,Metro,Rejected
8.2,0.344,92.6,91.1,0.983,9,YELLOW,Male,44,General,Middle,Rural,Hired
17.1,0.453,44.9,33.9,0.375,12,RED,Female,44,OBC,Low,Metro,Rejected
4.7,0.506,84.0,70.0,0.355,7,YELLOW,Female,36,General,Middle,Tier-2,Hired
1.2,0.984,33.5,65.6,0.194,9,RED,Male,26,OBC,Middle,Rural,Hired
5.6,0.223,79.6,70.0,0.978,12,RED,Female,26,OBC,Middle,Tier-3,Rejected
5.9,0.488,64.6,65.1,0.267,6,YELLOW,Male,24,OBC,Middle,Metro,Rejected
13.2,0.15,34.0,77.2,0.658,3,GREEN,Male,39,SC,Middle,Rural,Hired
11.1,0.35,77.4,70.1,0.09,11,RED,Non-binary,44,General,High,Metro,Rejected
15.7,0.717,77.1,27.2,0.112,1,YELLOW,Female,26,General,Middle,Tier-2,Hired
