years_of_experience,skill_match_score,assessment_score,interview_score,decision_confidence,feature_count,institution_tier,career_gap_months,applicant_surname,emotion_score,home_district,caste_indicator,risk_label
5.4,0.704,89.4,7.2,0.798,3,1,0,Ansari,0.914,Bengaluru Urban,ST,GREEN
3.1,0.48,54.9,4.5,0.486,4,3,13,Patil,0.477,Kalahandi,OBC,RED
2.8,0.303,35.5,2.4,0.332,4,3,4,Sharma,0.771,Pune,OBC,YELLOW
2.8,0.63,47.6,5.4,0.625,10,2,0,Singh,0.748,Pune,ST,GREEN
11.5,0.509,57.0,5.0,0.515,10,3,0,Ansari,0.916,Mumbai Suburban,General,GREEN
6.6,0.665,73.1,4.7,0.61,7,3,0,Patil,0.716,Gaya,SC,YELLOW
2.2,0.616,73.7,4.9,0.693,4,4,12,Das,0.579,Bengaluru Urban,General,GREEN
5.6,0.453,53.2,7.2,0.607,3,4,20,Das,0.784,Bastar,SC,RED
4.3,0.347,37.0,1.8,0.276,8,4,0,Banerjee,0.79,Kalahandi,General,RED
0.2,0.503,39.9,5.0,0.494,7,1,0,Khan,0.806,Bengaluru Urban,General,GREEN
1.1,0.453,30.5,3.0,0.329,4,3,8,Singh,0.567,Kalahandi,General,RED
4.6,0.808,79.7,10.0,0.845,6,2,0,Gupta,0.986,Bengaluru Urban,General,GREEN
10.7,0.488,46.6,3.5,0.447,8,3,0,Gupta,0.251,Mewat,OBC,RED
2.8,0.637,74.4,7.1,0.601,3,3,0,Gupta,0.416,Pune,OBC,GREEN
2.0,0.469,78.9,9.2,0.64,6,3,17,Patil,0.654,Bastar,SC,RED
3.9,0.596,77.6,4.5,0.579,5,3,0,Ansari,0.805,Mumbai Suburban,OBC,GREEN
1.9,0.177,2.1,1.2,0.055,4,3,3,Khan,0.761,Pune,OBC,RED
2.6,0.716,95.0,9.0,0.871,8,4,0,Singh,0.911,Gaya,ST,GREEN
3.5,0.467,58.3,4.2,0.445,3,3,0,Deshmukh,0.744,Bengaluru Urban,OBC,GREEN
1.1,0.768,74.1,8.1,0.702,3,2,0,Banerjee,0.746,Hyderabad,General,GREEN
6.9,0.792,93.9,8.6,0.937,6,4,0,Banerjee,0.656,Bastar,ST,GREEN
0.8,0.61,35.4,3.1,0.413,8,3,0,Verma,0.742,Mewat,OBC,YELLOW
4.2,0.954,85.0,8.5,0.888,12,1,0,Munda,0.407,Mewat,SC,GREEN
6.5,0.799,81.9,8.3,0.745,3,3,0,Das,0.505,Gaya,General,GREEN
4.1,0.681,68.8,5.5,0.612,3,4,0,Verma,0.723,Mewat,ST,YELLOW
3.1,0.572,72.4,7.0,0.671,4,3,0,Munda,0.479,Gaya,ST,GREEN
2.6,0.655,82.3,6.0,0.635,7,3,0,Yadav,0.84,Mumbai Suburban,General,GREEN
2.2,0.482,55.1,3.7,0.486,4,1,0,Iyer,0.555,Bengaluru Urban,OBC,GREEN
8.2,0.687,66.0,4.7,0.576,9,4,0,Banerjee,0.894,Kalahandi,OBC,YELLOW
4.7,0.876,100.0,10.0,0.944,7,3,0,Paswan,0.586,Mumbai Suburban,OBC,GREEN
2.4,0.471,41.1,5.3,0.441,6,4,0,Khan,0.798,Kalahandi,General,YELLOW
1.7,0.554,68.1,3.4,0.618,8,3,0,Gupta,0.577,Mumbai Suburban,SC,GREEN
5.9,0.744,67.1,6.8,0.698,11,3,0,Deshmukh,0.43,Kalahandi,General,GREEN
8.0,0.503,53.3,6.8,0.519,3,3,0,Munda,0.776,Kalahandi,OBC,YELLOW
7.5,0.799,65.4,8.7,0.815,7,2,0,Deshmukh,0.527,Bengaluru Urban,General,GREEN
1.4,0.596,82.9,7.7,0.671,8,3,36,Deshmukh,0.493,Mumbai Suburban,OBC,GREEN
2.6,0.62,62.5,5.8,0.619,7,3,3,Paswan,0.648,Bengaluru Urban,OBC,GREEN
2.2,0.557,42.0,8.7,0.518,13,4,0,Deshmukh,0.836,Gaya,General,YELLOW
2.9,0.864,81.8,9.1,0.798,5,4,1,Das,0.659,Bengaluru Urban,General,GREEN
6.8,0.141,24.0,3.9,0.267,10,3,7,Paswan,0.878,Hyderabad,SC,YELLOW
10.0,0.66,56.9,8.5,0.73,9,2,0,Kumar,0.685,Bengaluru Urban,OBC,GREEN
4.8,0.631,75.3,10.0,0.803,5,4,0,Patil,0.775,Hyderabad,OBC,GREEN
1.8,0.324,29.6,2.1,0.271,9,3,0,Patil,0.611,Bastar,OBC,RED
3.4,0.932,100.0,8.2,0.902,5,2,0,Banerjee,0.647,Hyderabad,General,GREEN
11.4,0.584,55.6,6.6,0.526,11,4,0,Deshmukh,0.958,Mewat,SC,YELLOW
3.8,0.456,57.7,4.5,0.458,5,3,4,Menon,0.915,Bengaluru Urban,General,GREEN
2.6,0.929,98.0,8.6,0.9,3,4,0,Menon,0.826,Pune,General,GREEN
2.8,0.822,79.6,5.9,0.789,4,2,0,Deshmukh,0.765,Bengaluru Urban,General,GREEN
4.8,0.632,57.8,7.0,0.654,5,4,0,Das,0.65,Bengaluru Urban,OBC,GREEN
1.5,0.679,68.6,8.5,0.65,4,4,0,Banerjee,0.606,Bastar,SC,GREEN
2.1,0.727,80.0,8.3,0.802,4,4,0,Yadav,0.684,Kalahandi,OBC,GREEN
7.4,0.614,49.5,3.7,0.474,3,2,0,Khan,0.878,Kalahandi,SC,GREEN
4.7,0.729,77.8,5.4,0.648,9,4,0,Yadav,0.882,Pune,OBC,GREEN
3.8,0.717,71.2,7.8,0.767,5,4,0,Das,0.779,Pune,General,GREEN
7.7,0.607,85.1,6.2,0.744,10,4,0,Deshmukh,0.87,Pune,SC,GREEN
1.7,0.688,76.9,6.9,0.762,6,3,0,Singh,0.655,Pune,General,GREEN
2.5,0.764,82.3,7.7,0.744,8,3,0,Ansari,0.747,Pune,OBC,GREEN
4.5,0.57,57.2,5.5,0.549,8,3,0,Banerjee,0.684,Mumbai Suburban,SC,GREEN
4.4,0.605,77.4,7.6,0.73,4,4,7,Meena,0.956,Kalahandi,OBC,GREEN
0.6,0.816,81.6,10.0,0.926,7,4,0,Verma,0.836,Gaya,OBC,GREEN
2.3,0.687,73.1,6.0,0.649,3,3,0,Singh,0.85,Mumbai Suburban,General,GREEN
3.0,0.717,76.0,6.8,0.71,10,3,0,Sharma,0.379,Hyderabad,General,GREEN
5.0,0.908,79.7,9.2,0.82,4,2,0,Deshmukh,0.599,Bengaluru Urban,OBC,GREEN
4.4,0.694,79.4,4.3,0.58,3,1,0,Banerjee,0.833,Bastar,OBC,GREEN
3.3,0.56,78.2,5.9,0.685,7,4,9,Singh,0.817,Bengaluru Urban,OBC,GREEN
0.2,0.635,63.6,6.9,0.721,5,4,0,Khan,0.834,Kalahandi,General,GREEN
3.4,0.6,59.0,9.7,0.716,3,4,0,Singh,0.95,Gaya,ST,GREEN
3.7,0.632,62.4,6.5,0.686,6,4,20,Banerjee,0.694,Kalahandi,ST,YELLOW
19.1,0.684,53.6,4.9,0.588,4,4,1,Banerjee,0.454,Bastar,SC,YELLOW
2.9,0.559,52.1,6.7,0.551,5,3,0,Khan,0.782,Bengaluru Urban,OBC,GREEN
4.6,0.887,100.0,9.2,0.954,4,4,2,Das,0.73,Pune,OBC,GREEN
8.7,0.583,67.5,3.7,0.62,3,4,32,Gupta,0.303,Bengaluru Urban,SC,RED
6.5,0.823,98.1,6.1,0.803,11,3,0,Patil,0.816,Pune,General,GREEN
10.3,0.582,57.9,3.5,0.582,4,3,0,Deshmukh,0.521,Kalahandi,ST,YELLOW
0.6,0.261,17.4,3.9,0.144,6,2,0,Yadav,0.741,Mumbai Suburban,SC,GREEN
1.2,0.733,66.0,5.8,0.699,8,2,0,Singh,0.796,Pune,General,GREEN
2.0,0.399,42.4,8.0,0.545,3,4,0,Banerjee,0.882,Gaya,OBC,YELLOW
0.5,0.893,73.1,8.1,0.796,8,1,0,Iyer,0.812,Mumbai Suburban,General,GREEN
3.7,0.555,47.8,7.2,0.589,4,3,0,Das,0.562,Kalahandi,General,YELLOW
1.3,0.892,79.6,5.7,0.653,11,2,0,Iyer,0.403,Mewat,SC,GREEN
11.3,0.888,95.0,9.7,0.925,5,4,0,Banerjee,0.56,Mewat,OBC,GREEN
1.5,0.59,61.8,8.0,0.687,8,2,0,Banerjee,0.679,Bengaluru Urban,General,GREEN
2.6,0.629,64.8,5.8,0.693,6,1,0,Yadav,0.886,Pune,General,GREEN
6.9,0.548,64.4,4.4,0.518,4,4,3,Iyer,0.93,Mumbai Suburban,General,GREEN
0.8,0.881,100.0,8.8,0.88,10,4,5,Meena,0.725,Bengaluru Urban,General,GREEN
0.4,0.236,37.2,3.3,0.288,8,3,15,Deshmukh,0.567,Pune,SC,RED
4.1,0.561,40.8,4.1,0.505,7,2,0,Singh,0.909,Bastar,General,GREEN
4.4,0.587,65.6,8.9,0.727,7,4,0,Yadav,0.559,Bengaluru Urban,OBC,GREEN
6.7,0.312,35.7,4.4,0.343,7,4,8,Menon,0.898,Hyderabad,General,YELLOW
5.5,0.851,69.4,10.0,0.874,6,4,0,Banerjee,0.814,Bengaluru Urban,SC,GREEN
4.6,0.322,37.1,5.6,0.423,5,2,12,Deshmukh,0.788,Bastar,General,GREEN
1.7,0.762,86.4,10.0,0.924,6,4,0,Banerjee,0.643,Pune,General,GREEN
4.3,0.342,37.6,2.0,0.271,9,3,0,Verma,0.654,Bastar,OBC,RED
4.5,0.528,65.9,7.1,0.616,7,2,11,Deshmukh,0.815,Bengaluru Urban,OBC,GREEN
1.7,0.868,95.0,8.4,0.866,5,4,0,Gupta,0.96,Bastar,General,GREEN
13.7,0.828,78.1,8.6,0.75,5,4,0,Patil,0.674,Mumbai Suburban,ST,GREEN
5.3,0.423,51.4,3.9,0.457,3,4,23,Kumar,0.776,Bengaluru Urban,OBC,YELLOW
1.2,0.877,69.8,10.0,0.871,3,2,0,Banerjee,0.77,Kalahandi,General,GREEN
6.7,0.761,93.6,7.8,0.826,7,3,13,Patil,0.944,Pune,ST,GREEN
7.6,0.489,61.2,6.4,0.569,7,4,0,Patil,0.783,Mewat,OBC,YELLOW
5.0,0.737,73.2,5.9,0.616,3,3,1,Verma,0.881,Hyderabad,General,GREEN
2.8,0.334,53.6,4.3,0.412,12,3,9,Banerjee,0.935,Bengaluru Urban,OBC,GREEN
1.6,0.688,61.1,9.0,0.716,6,4,0,Ansari,0.657,Gaya,ST,GREEN
3.3,0.738,80.2,8.4,0.753,3,3,0,Das,0.588,Mewat,OBC,GREEN
4.7,0.658,38.5,5.2,0.513,6,1,0,Yadav,0.74,Bastar,OBC,GREEN
3.5,0.697,84.9,6.4,0.749,6,4,0,Menon,0.956,Kalahandi,General,GREEN
10.6,0.572,51.3,6.5,0.673,6,3,1,Deshmukh,0.787,Bengaluru Urban,SC,GREEN
5.9,0.315,38.1,3.6,0.361,4,4,0,Ansari,0.527,Bengaluru Urban,OBC,YELLOW
1.4,0.256,44.7,0.0,0.247,3,4,0,Das,0.498,Bengaluru Urban,SC,YELLOW
1.1,0.723,65.7,7.2,0.696,7,4,6,Deshmukh,0.691,Pune,OBC,GREEN
5.3,0.538,76.4,5.7,0.528,8,4,0,Banerjee,0.889,Mumbai Suburban,SC,GREEN
2.8,0.259,42.0,3.4,0.338,6,2,0,Patil,0.811,Kalahandi,General,YELLOW
6.4,0.634,78.3,8.7,0.765,8,2,11,Singh,0.692,Bengaluru Urban,General,GREEN
5.3,0.941,94.3,8.5,1.0,6,4,3,Khan,0.485,Mewat,OBC,GREEN
3.3,0.61,59.2,7.1,0.628,3,4,3,Iyer,0.929,Bastar,SC,GREEN
1.4,0.824,88.1,8.8,0.877,7,1,0,Banerjee,0.686,Mumbai Suburban,ST,GREEN
0.5,0.776,85.1,9.0,0.841,7,4,0,Paswan,0.653,Mewat,OBC,GREEN
4.2,0.846,64.5,10.0,0.772,7,3,0,Patil,0.712,Gaya,SC,GREEN
0.8,0.482,50.3,7.9,0.649,4,3,6,Deshmukh,0.634,Bengaluru Urban,OBC,GREEN
1.3,0.656,59.8,5.6,0.642,8,4,0,Gupta,0.881,Kalahandi,SC,GREEN
4.0,0.603,53.0,5.9,0.614,10,3,0,Verma,0.708,Bastar,SC,YELLOW
3.7,0.252,23.2,4.5,0.266,5,3,0,Banerjee,0.808,Mumbai Suburban,OBC,YELLOW
0.9,0.737,73.7,7.2,0.801,5,3,20,Iyer,0.677,Bengaluru Urban,SC,GREEN
8.3,0.659,76.4,4.6,0.558,6,2,0,Banerjee,0.83,Kalahandi,OBC,GREEN
8.1,0.302,29.4,2.6,0.315,6,3,2,Khan,0.843,Pune,General,YELLOW
5.4,0.705,69.1,7.2,0.815,9,2,4,Menon,0.918,Bengaluru Urban,General,GREEN
5.4,0.529,54.8,5.1,0.479,6,3,0,Munda,0.674,Hyderabad,SC,GREEN
5.4,0.622,56.8,7.3,0.612,4,3,0,Verma,0.762,Kalahandi,OBC,YELLOW
7.6,0.58,70.2,5.2,0.606,3,3,11,Paswan,0.431,Bastar,OBC,YELLOW
6.1,0.443,44.2,4.7,0.426,5,2,36,Menon,0.942,Kalahandi,ST,YELLOW
